编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,一级评论,up主,up主,恭喜宝藏发现你,109498724,切里是不是说错了，关于充电速度，15和15Pro 20w，15plus和15pm 27w哦。,2023-09-29 09:11,790
0,二级评论,恭喜宝藏发现你,109498724,碧海之渊,358058324,充电速度取决于充电线，原装的线，都是20w的,2023-09-29 09:12,8
0,二级评论,恭喜宝藏发现你,109498724,晚风宇plus,440687882,的,2023-09-29 09:13,0
0,二级评论,恭喜宝藏发现你,109498724,张烦了壮志凌云,25401194,p不是27啊,2023-09-29 09:15,6
0,二级评论,恭喜宝藏发现你,109498724,猫的报恩zzz,110897032,回复 @碧海之渊 : 原装的线最大支持60wpd。,2023-09-29 09:16,9
0,二级评论,恭喜宝藏发现你,109498724,在下哆啦B梦,293396882,回复 @碧海之渊 :多读点书没什么不好的,2023-09-29 09:20,13
0,二级评论,恭喜宝藏发现你,109498724,海布里看海,494380052,牛的地方在于不管哪一款充电时间都是一样,2023-09-29 09:24,2
0,二级评论,恭喜宝藏发现你,109498724,大狸子切切里,471303350,啊确实 晕了,2023-09-29 09:31,18
0,二级评论,恭喜宝藏发现你,109498724,Useful_33,504753566,原！,2023-09-29 09:31,0
0,二级评论,恭喜宝藏发现你,109498724,爱吃饭滴米粒,661073849,回复 @大狸子切切里 :捕捉,2023-09-29 09:31,1
0,二级评论,恭喜宝藏发现你,109498724,暮光沉念,1267836137,回复 @大狸子切切里 :抓,2023-09-29 09:31,1
0,二级评论,恭喜宝藏发现你,109498724,迷迷の茫茫,267625051,15 15pro应该是22w,2023-09-29 09:33,3
0,二级评论,恭喜宝藏发现你,109498724,丿幻柏,181691644,回复 @张烦了壮志凌云 :不按档次算，就是所有型号的充电时长是一样的,2023-09-29 09:51,7
0,二级评论,恭喜宝藏发现你,109498724,Lost贝加尔湖畔,7295042,四舍五入就是30，还没人家反冲快,2023-09-29 10:25,2
0,二级评论,恭喜宝藏发现你,109498724,拉雅西,438297379,回复 @大狸子切切里 :啊，摸摸,2023-09-29 10:39,1
0,二级评论,恭喜宝藏发现你,109498724,又要起昵称啊,1531337,牛批啊，2023年还是20w,2023-09-29 13:00,1
0,二级评论,恭喜宝藏发现你,109498724,"空洞了的眼眸つ,",339065,pro是22w,2023-09-29 14:37,0
0,二级评论,恭喜宝藏发现你,109498724,那菈惨绿少年,317119101,回复 @张烦了壮志凌云 :果子手机充电从来不是以瓦数而论，无论你是什么机型，充电时间都是一样的,2023-09-29 21:15,0
0,二级评论,恭喜宝藏发现你,109498724,那菈惨绿少年,317119101,回复 @大狸子切切里 :果子目前近几代手机，充电策略都是30分充50%，一个小时出头充满这个策略不变，果子充电功率就不会有大的变化。除非电池从3000 4000变成4000 5000,2023-09-29 21:17,1
0,二级评论,恭喜宝藏发现你,109498724,总之就是非常合理啊,529579895,15p是27啊,2023-09-29 22:07,0
0,二级评论,恭喜宝藏发现你,109498724,听雨落霞,397706717,太快了，伤电池啊,2023-09-30 01:26,0
0,二级评论,恭喜宝藏发现你,109498724,Hangover孑然抬头望,1315869286,回复 @大狸子切切里 :读稿up辛苦了,2023-09-30 17:13,1
