编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,一级评论,up主,up主,喵叔中的糕富帅,14172374,基带性能(信号强度)对比上一代是否有改善？,2023-09-19 23:08,4962
0,二级评论,喵叔中的糕富帅,14172374,Taro-pi,434562817,如果有会不讲吗,2023-09-19 23:45,2009
0,二级评论,喵叔中的糕富帅,14172374,你都sup下sup下,12577367,回复 @Taro-pi :如果有 我14p卖了换15,2023-09-20 01:03,40
0,二级评论,喵叔中的糕富帅,14172374,洛明龙,57091236,回复 @Taro-pi :对于苹果1来说简直是脱胎换骨,2023-09-20 01:05,1005
0,二级评论,喵叔中的糕富帅,14172374,toss50th,452230403,回复 @你都sup下sup下 :14换15好像还真没有必要,2023-09-20 01:36,50
0,二级评论,喵叔中的糕富帅,14172374,watermelonsugar,20915943,回复 @洛明龙 :但是就没说信号,2023-09-20 01:41,32
0,二级评论,喵叔中的糕富帅,14172374,你都sup下sup下,12577367,回复 @toss50th :开玩笑的 ,2023-09-20 01:43,4
0,二级评论,喵叔中的糕富帅,14172374,未知歌手z,2084755,回复 @洛明龙 : 对比的很好 下次不许这么对比了,2023-09-20 01:44,62
0,二级评论,喵叔中的糕富帅,14172374,文太_,28404831,上一代本来就不差啊，但凡生活在正常的地方哪有信号困扰？,2023-09-20 01:53,19
0,二级评论,喵叔中的糕富帅,14172374,给你一拳潮人,701418728,差得要死，图书馆几乎无信号,2023-09-20 01:59,76
0,二级评论,喵叔中的糕富帅,14172374,万恶的月饼盖饭,23888213,说真的，要是有改善会吹上天的,2023-09-20 02:06,120
0,二级评论,喵叔中的糕富帅,14172374,狼小明呀,39083867,回复 @文太_ :你不坐地铁不坐高铁吗,2023-09-20 02:32,82
0,二级评论,喵叔中的糕富帅,14172374,落实全民8小时工作,475848523,这个得问高通吧！毕竟高通不给，苹果就没有5g基带，别搞得被制裁几年一样,2023-09-20 02:33,22
0,二级评论,喵叔中的糕富帅,14172374,cadillac21,30514573,回复 @Taro-pi : 你坏坏哟~,2023-09-20 03:01,1
0,二级评论,喵叔中的糕富帅,14172374,峰哥连接余力,38948863,苹果：你来找茬的是吧,2023-09-20 04:21,10
0,二级评论,喵叔中的糕富帅,14172374,YvaineCCC的西游记,15005124,回复 @洛明龙 : 啊林萧你,2023-09-20 04:21,3
