编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,一级评论,up主,up主,大象有无形,444320391,缺点就是128起步，然后512的价格太贵了，这年头买旗舰机还有买128的吗？2024年512真的该是主流了，还是那句老话，苹果存储金子做的,2024-01-18 18:03,729
0,二级评论,大象有无形,444320391,新奇诺比珂,168074119,Pro Max才是256G起步（依旧很抠）,2024-01-18 18:07,5
0,二级评论,大象有无形,444320391,大象有无形,444320391,回复 @新奇诺比珂 :而且它同一款手机不同存储差价过大，国产都是几百，他是一两千,2024-01-18 20:04,10
0,二级评论,大象有无形,444320391,喜欢吃番茄炒庆喜,175689670,真我GT5 Pro评测 这次性价比太高了 根据这个视频里的评论得出结论 “iphone都用钛合金减轻重量了，真我还在玩大板砖这一套东西，嫌自己小指头断的不够快吗” 已知苹果钛合金+4422毫安电池只比真我重几克，且两台手机大小差不多 在体积一样的情况下，重量和密度成正比，黄金的密度在金属元素是比较大，所以苹果的内存有很大概率是黄金做的。,2024-01-18 20:24,33
0,二级评论,大象有无形,444320391,新奇诺比珂,168074119,回复 @大象有无形 :确实是金子做的,2024-01-18 20:37,0
0,二级评论,大象有无形,444320391,瓦力评测,23020989,128这种版本我猜iphone 16还有，他们就靠这版本入侵安卓了。,2024-01-18 22:22,58
0,二级评论,大象有无形,444320391,临决Raison,32224465,我就是用128的 现在还剩一半空间,2024-01-18 22:28,22
0,二级评论,大象有无形,444320391,kickerass,15113537,我64G 版本用了四年。说实话 就普通人而言 其实差不多。iPhone的相片比安卓的占内存小一半，而且iPhone的应用在内存不够时候可以自动放到云，然后用的时候再下载回来 应用里面还是一模一样，数据都在。再加上我的文件都会托管到网盘，所以其实还可以。,2024-01-18 22:28,14
0,二级评论,大象有无形,444320391,kickerass,15113537,而且普遍iPhone的应用比安卓要小一些，加上不要缓存很多垃圾文件，安卓经常需要清理一些缓存 很占内存,2024-01-18 22:30,10
0,二级评论,大象有无形,444320391,你曾经很酷_,160167490,我14p 256一半都没用完,2024-01-18 22:37,4
0,二级评论,大象有无形,444320391,芭華才不是笨蛋,17465168,而且升级128要1千,2024-01-18 23:34,4
0,二级评论,大象有无形,444320391,巨冂匕巳厂,703014580,回复 @瓦力评测 :128不够用啊，装两个游戏就满了,2024-01-19 00:02,4
0,二级评论,大象有无形,444320391,昵称不让起,26348591,我的小11从刚出用到现在  128g现在还剩20多    下一部还会买128的  不是重度游戏用户的话  足够了吧   当然还有除了拍视频狂魔～,2024-01-19 00:30,7
0,二级评论,大象有无形,444320391,南乡ソ清歌,166765742,回复 @巨冂匕巳厂 :像我不玩手游完全够了 就用了四十几g,2024-01-19 00:32,0
0,二级评论,大象有无形,444320391,哩狸猫哩,1513982398,我的安卓机用了快四年，就是128g的，其中有部分照片存云端了。前段时间随便清了下，把用得少的APP也卸载了，占七十几G还没到80g，目前显示刚刚用了80g,2024-01-19 00:45,3
0,二级评论,大象有无形,444320391,诗乃不可爱了,479217236,回复 @kickerass :然后呢 所以128还是不够用，,2024-01-19 00:53,2
