编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,一级评论,up主,up主,小白测评,8969156,置顶07:56-08:36 SPEC测试项目使用来自作者junjie1475开发的开源工具spec2017-on-iOS。再次感谢动态正在抽送一台iPhone 15 Pro钛原色！搏一搏单车变摩托！点击直达👉🏻：https://b23.tv/DohtRp3,2023-09-19 21:51,1733
0,二级评论,小白测评,8969156,Super赛亚新,243831459,怎么看中没中奖,2023-09-19 22:41,7
0,二级评论,小白测评,8969156,一个人de太阳,87825665,我来拿,2023-09-19 22:50,0
0,二级评论,小白测评,8969156,追逐的未来不是梦,645543084,小白，今天是我生日，希望陌生人可以祝福我同时，我要中一次奖，我真的非常想换华为mate60 pro！,2023-09-19 23:17,2
0,二级评论,小白测评,8969156,-土豆鸡翅-,1891029267,问个关键问题15PM的王者荣耀60帧是全程满帧吗？因为我14PM到现在还是热一点就断崖式了没有过稳定60更别提120帧了,2023-09-19 23:18,10
0,二级评论,小白测评,8969156,你们永远的祖宗,23325366,就一句话告诉你们吧：苹果 iphone12promax的屏幕才是最舒服的，从13promax开始往后到现在的15promax光屏幕就晃瞎你的眼睛。其他的看都不用看啦，已经瓶颈。近几年之内手机就这样了，CPU上屏幕上边框材质充电内存上给你挤一挤牙膏，其他的等以后革命性更新吧。完毕。总结：穷人勿买，富人啊，全都MATE X5去了。最后再送一句吧，手拿苹果彰显有钱人的时代已经一去不复返了。,2023-09-19 23:39,9
0,二级评论,小白测评,8969156,橘子不是唯一的水果灬,370868675,我发现一个问题小白测的这苹果不行的话它们就觉得你说的对，要是你测的比别家强它们就得说小白就是小白,2023-09-19 23:42,6
0,二级评论,小白测评,8969156,-asprin,381379289,抽我抽我,2023-09-19 23:45,0
0,二级评论,小白测评,8969156,含泪玩富婆,646249144,小伙子，有些話不能亂說，裡面是有忌諱的 你還小不懂裡面的套路，有些話說出來，冥冥之中就會改變軌跡，看似很簡單的一句話將會影響你一生，你沒有能力把握它，聽叔一句勸，把這句話刪了，手机讓叔来拿。,2023-09-20 00:00,6
0,二级评论,小白测评,8969156,哇哈哈的啊,1773477129,6666,2023-09-20 00:07,0
0,二级评论,小白测评,8969156,小瀛哇,1587114164,怎么中奖,2023-09-20 00:27,0
0,二级评论,小白测评,8969156,------无语----,622395307,抽我抽我,2023-09-20 00:53,0
0,二级评论,小白测评,8969156,深渊的曙光,2555841,我想问下 你这个手机产地是哪里 不说国内都是印度么,2023-09-20 00:55,0
0,二级评论,小白测评,8969156,巴拉拉吖,99448402,来啦,2023-09-20 01:36,0
0,二级评论,小白测评,8969156,玩游戏就一定要笑玩你,1070639258,中,2023-09-20 01:39,0
0,二级评论,小白测评,8969156,发牌手艾克,445916681,111,2023-09-20 01:54,0
0,二级评论,小白测评,8969156,古舔漏,316947445,第一次发评论,2023-09-20 02:03,0
0,二级评论,小白测评,8969156,萌新丶Cc,25150811,拉低中奖率,2023-09-20 02:22,1
0,二级评论,小白测评,8969156,jenkl,385665200,我中了,2023-09-20 02:38,0
